com.google.android.syncadapters.calendar;Calendar Sync Adapter;Storage, Backups and Transfers
com.google.android.syncadapters.contacts;Contacts Sync Adapter;Storage, Backups and Transfers
com.google.android.tag;Android Tag;Background Processes and Services
com.google.android.talk;Hangouts;Communication
com.google.android.tts;Google Text-to-speech;Tools
com.google.android.videos;Google Play Movies & TV;Watching
com.google.android.voicesearch;Google Voice Search;Searching and Wikis
com.google.android.webview;Android System WebView;Browsers
com.google.android.youtube;YouTube;Watching
com.google.earth;Google Earth;Navigation and Travel
com.google.zxing.client.android;Barcode Scanner;Tools
com.guardian;The Guardian;News, Weather and Magazines
com.hp.android.printservice;HP Print Service Plugin;Office
com.hutchison3g.planet3;Three;Tools
com.imdb.mobile;IMDb Movies & TV;Watching
com.instagram.android;Instagram;Social Media
com.justeat.app.uk;JUST EAT;Speciality
com.lifevibes.trimapp;LifeVibes;Photography
com.linkedin.android;LinkedIn;Social Media
com.microsoft.office.word;Microsoft Word;Office
com.microsoft.skydrive;Microsoft OneDrive;Storage, Backups and Transfers
com.mobeam.barcodeService;Beaming Service for Samsung;Tools
com.monotype.android.font.chococooky;Chococooky Font;Background Processes and Services
com.monotype.android.font.cooljazz;Cool Jazz Font;Background Processes and Services
com.monotype.android.font.rosemary;Rosemary Font;Background Processes and Services
com.monotype.android.font.samsungsans;Samsung Sans Font;Background Processes and Services
com.mxtech.videoplayer.ad;MX Player;Watching
com.netflix.mediaclient;Netflix;Watching
com.osp.app.signin;OSP App Sign In;Background Processes and Services
com.paypal.android.p2pmobile;PayPal;Shopping
com.policydm;Samsung Security Policy Update;Security
com.qualcomm.atfwd;Qualcomm atfwd;Background Processes and Services
com.qualcomm.interfacepermissions;Qualcomm Interface Permissions;Background Processes and Services
com.qualcomm.location;Qualcomm Location;Background Processes and Services
com.qualcomm.qcom_qmi;Qualcomm QMI;Background Processes and Services
com.qualcomm.qcrilmsgtunnel;Qualcomm qcrilmstunnel;Background Processes and Services
com.qualcomm.shutdownlistner;Qualcomm Shutdown Listener;Background Processes and Services
com.qualcomm.timeservice;Qualcomm Time Service;Background Processes and Services
com.quickoffice.android;Quickoffice;Office
com.rightmove.android;Rightmove;Speciality
com.samsung.SMT;Samsung SMT;Background Processes and Services
com.samsung.android.MtpApplication;Samsung MTP Application;Background Processes and Services
com.samsung.android.allshare.service.fileshare;Samsung AllShare FileShare;Storage, Backups and Transfers
com.samsung.android.allshare.service.mediashare;Samsung AllShare Media Share;Storage, Backups and Transfers
com.samsung.android.app.FileShareClient;Samsung File Share Client;Storage, Backups and Transfers
com.samsung.android.app.FileShareServer;Samsung File Share Server;Storage, Backups and Transfers
com.samsung.android.app.accesscontrol;Samsung Access Control;Background Processes and Services
com.samsung.android.app.assistantmenu;Samsung Assistant Menu;Background Processes and Services
com.samsung.android.app.colorblind;Samsung Colorblind;Background Processes and Services
com.samsung.android.app.divx;Samsung DivX Process;Background Processes and Services
com.samsung.android.app.filterinstaller;Samsung Filter Installer;Background Processes and Services
com.samsung.android.app.galaxyfinder;Samsung Galaxy Finder;Tools
com.samsung.android.app.shareaccessibilitysettings;Samsung Shared Accessibility Settings;Settings
com.samsung.android.app.watchmanagerstub;Samsung Watch Manager Stub;Background Processes and Services
com.samsung.android.beaconmanager;Samsung Beacon Manager;Tools
com.samsung.android.clipboarduiservice;Samsung Clipboard UI Service;Background Processes and Services
com.samsung.android.mdm;Samsung Android Mobile Device Management;Background Processes and Services
com.samsung.android.provider.filterprovider;Samsung Filter Provider;Background Processes and Services
com.samsung.android.providers.context;Samsung Context Provider;Background Processes and Services
com.samsung.android.scloud.auth;Samsung Cloud Authorisation;Storage, Backups and Transfers
com.samsung.android.scloud.backup;Samsung Cloud Backup;Storage, Backups and Transfers
com.samsung.android.scloud.proxy.calendar;Samsung SCloud Calendar Proxy;Storage, Backups and Transfers
com.samsung.android.scloud.proxy.contacts;Samsung SCloud Contacts Proxy;Storage, Backups and Transfers
com.samsung.android.scloud.proxy.sbrowser;Samsung SCloud Browser Proxy;Storage, Backups and Transfers
com.samsung.android.scloud.quota;Samsung Cloud Quota;Storage, Backups and Transfers
com.samsung.android.scloud.sync;Samsung Cloud Sync;Storage, Backups and Transfers
com.samsung.android.sconnect;Samsung SConnect;Background Processes and Services
com.samsung.android.sdk.spenv10;Samsung Pen SDK;Background Processes and Services
com.samsung.android.securitylogagent;Samsung Security Log Agent;Security
com.samsung.android.visualeffect.res;Samsung Visual Effect;Background Processes and Services
com.samsung.clipboardsaveservice;Samsung Clipboard Save Service;Background Processes and Services
com.samsung.everglades.video;Samsung Everglades Video;Watching
com.samsung.groupcast;Samsung Group Cast;Background Processes and Services
com.samsung.helphub;Samsung Help Hub;Background Processes and Services
com.samsung.klmsagent;Samsung klms agent;Background Processes and Services
com.samsung.knox.rcp.components;Samsung Knox RCP Components;Background Processes and Services
com.samsung.music;Samsung Music;Listening
com.samsung.pickuptutorial;Samsung Pick Up Tutorial;Background Processes and Services
com.samsung.scrc.idi.server;Samsung SCRC IDI Server;Background Processes and Services
