hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"Gaming",0.0,0.0,0.18181818181818182,0.0,0.0,0.5161290322580645,0.31085043988269795,0.0,0.0,0.1935483870967742,0.2903225806451613,0.0,0.0,0.0,0.45454545454545453,1.4780058651026393,0.718475073313783,0.0,0.6363636363636364,0.5454545454545454,0.9308300395256917,1.0909090909090908,0.6217008797653959,0.1935483870967742
"Social Media",0.3517665130568356,0.1443932411674347,0.1935483870967742,0.06451612903225806,0.3548387096774194,1.3870967741935483,0.16129032258064516,0.5634475389033593,0.6024844720496894,1.0461831296333401,1.174380551659654,0.9854070660522273,1.9726684502693081,1.5031055900621118,1.795865891938823,1.7017140657104353,1.9127272227263976,1.3484560086944377,1.3560408735724305,2.061944834034595,1.154878781807253,1.6480963416859797,1.8462565952047014,1.7366259266680022
"Speciality",0.045548654244306416,0.023809523809523808,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.19047619047619047,0.23809523809523808,0.21428571428571427,0.2360248447204969,0.34485407066052226,0.2227342549923195,0.33764108729045617,0.2577639751552795,0.16666666666666666,0.23395445134575568,0.29362853135644157,0.2360248447204969,0.3250517598343685,0.4119915848527349,0.3033126293995859,0.11697722567287784
"Searching and Wikis",0.10023041474654378,0.03225806451612903,0.03225806451612903,0.0,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.0,0.06451612903225806,0.13960770412383317,0.1935483870967742,0.08832565284178187,0.2818740399385561,0.34914611005692603,0.5161290322580645,0.1205837173579109,0.1205837173579109,0.11471861471861472,0.22580645161290322,0.6104943443653121,0.5161290322580645,0.08832565284178187,0.2734254992319508
"Health and Fitness",0.03225806451612903,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.021739130434782608,0.17647058823529413,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Storage, Backups and Transfers",0.7993388098577439,0.21428571428571427,0.33640552995391704,0.0,0.12903225806451613,0.2903225806451613,0.06451612903225806,0.10527924623296292,0.24351781925414465,0.27187398856403067,0.6194843025137555,0.8188945229618442,0.6567822079743539,0.6828136800086309,0.6999894682222874,0.9459668428812888,1.1904016974143201,1.3554385072617892,0.7472193538112191,0.7691087547328781,1.4333595343413015,1.9329074385175367,1.0024582710417211,0.3251699212428525
"SMS and Phone",3.559006211180124,2.582181259600614,3.0161320680254757,0.37727910238429174,1.2580645161290323,4.058651026392962,1.3372434017595307,1.392548778944291,2.181785887296984,3.5172949317821853,4.161349403284887,6.637352362457552,8.998516938332134,7.690473319546827,10.687300084070154,10.076625365669173,6.460184207069777,5.7907990587637475,8.638935357192926,8.941798782302865,10.556704632440958,13.576929478134,9.48103742914402,8.862326546758524
"Navigation and Travel",0.1956521739130435,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.08902691511387163,0.15077138849929872,0.3484939557870834,0.1949509116409537,0.10869565217391304,0.19772256728778467,0.05399719495091164,0.2826086956521739,0.43685300207039335,0.5473801560758083,0.08695652173913043,0.3281573498964804,0.14302411006478327,0.17391304347826086,0.11283643892339544,0.03225806451612903
"Analysers",0.169588592800374,0.11559139784946236,0.16129032258064516,0.0,0.12903225806451613,0.1935483870967742,0.06451612903225806,0.17665130568356374,0.1576838308956121,0.15130568356374807,0.24600948373739395,0.2734254992319508,1.1149068322981366,0.5629132438389101,1.1341697106072983,0.3635826539052346,0.28671608896012823,0.24101716422894542,0.3565199410220448,0.5516930474854738,0.5143540424045333,1.0963419469730828,0.5025379015561344,0.30277833433513657
"Security",0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.1935483870967742,0.12903225806451613,0.0967741935483871,0.03225806451612903,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.06451612903225806,0.0967741935483871,0.05789909015715467,0.0967741935483871,0.0967741935483871
"Settings",1.0666199158485274,0.716589861751152,2.3753665689149557,0.2903225806451613,1.2580645161290323,3.967741935483871,1.064516129032258,0.5642611245696799,0.517531556802244,1.2917251051893408,2.145829159153142,3.4971949509116413,6.669705469845722,5.726474320443464,7.166165765043745,4.740466172443732,3.276297335203366,1.7096440259133105,3.689941895411741,4.382855807119482,6.647164896814266,7.401038536031524,5.17671809256662,4.4044279703466245
"Reading",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Online Dating",0.42857142857142855,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2556935817805383,0.474120082815735,0.23395445134575568,0.23809523809523808,0.11697722567287784,0.18633540372670807,0.45031055900621114,0.3053830227743271,0.5900621118012422,0.6635610766045549,0.5331262939958592,0.531055900621118,0.3033126293995859,0.33850931677018636,0.8084886128364388,0.8488612836438924
